cell_id,cell_lat,cell_lon,in_scope
311,40.2744916,-3.8344058,0
312,40.2744916,-3.8314543,1
313,40.2744916,-3.8285027,1
314,40.2744916,-3.8255512,1
315,40.2744916,-3.8225997,1
316,40.2744916,-3.8196482,1
317,40.2744916,-3.8166966,1
318,40.2744916,-3.8137451,1
319,40.2744916,-3.8107936,1
320,40.2744916,-3.8078421,1
321,40.2744916,-3.8048906,1
322,40.2744916,-3.8019390,1
323,40.2744916,-3.7989875,1
324,40.2744916,-3.7960360,1
325,40.2744916,-3.7930845,1
326,40.2744916,-3.7901329,1
327,40.2744916,-3.7871814,1
328,40.2744916,-3.7842299,1
329,40.2744916,-3.7812784,1
330,40.2744916,-3.7783268,1
331,40.2744916,-3.7753753,1
332,40.2744916,-3.7724238,1
333,40.2744916,-3.7694723,1
334,40.2744916,-3.7665207,1
335,40.2744916,-3.7635692,1
336,40.2744916,-3.7606177,1
337,40.2744916,-3.7576662,1
338,40.2744916,-3.7547146,1
339,40.2744916,-3.7517631,1
340,40.2744916,-3.7488116,1
341,40.2744916,-3.7458601,1
342,40.2744916,-3.7429085,1
343,40.2744916,-3.7399570,1
344,40.2744916,-3.7370055,1
345,40.2744916,-3.7340540,1
346,40.2744916,-3.7311024,1
347,40.2744916,-3.7281509,1
348,40.2744916,-3.7251994,1
349,40.2744916,-3.7222479,1
350,40.2744916,-3.7192963,1
351,40.2744916,-3.7163448,1
352,40.2744916,-3.7133933,1
353,40.2744916,-3.7104418,1
354,40.2744916,-3.7074902,1
355,40.2744916,-3.7045387,1
356,40.2744916,-3.7015872,1
357,40.2744916,-3.6986357,1
358,40.2744916,-3.6956842,1
359,40.2744916,-3.6927326,1
360,40.2744916,-3.6897811,1
361,40.2744916,-3.6868296,1
362,40.2744916,-3.6838781,1
363,40.2744916,-3.6809265,1
364,40.2744916,-3.6779750,1
365,40.2744916,-3.6750235,1
366,40.2744916,-3.6720720,0
367,40.2744916,-3.6691204,0
368,40.2744916,-3.6661689,0
369,40.2744916,-3.6632174,0
370,40.2744916,-3.6602659,0
371,40.2744916,-3.6573143,0
372,40.2744916,-3.6543628,0
373,40.2744916,-3.6514113,0
374,40.2744916,-3.6484598,0
375,40.2744916,-3.6455082,0
376,40.2744916,-3.6425567,0
377,40.2744916,-3.6396052,0
378,40.2744916,-3.6366537,0
379,40.2744916,-3.6337021,0
380,40.2744916,-3.6307506,0
381,40.2744916,-3.6277991,0
382,40.2744916,-3.6248476,0
383,40.2744916,-3.6218960,0
384,40.2744916,-3.6189445,0
385,40.2744916,-3.6159930,0
386,40.2744916,-3.6130415,0
387,40.2744916,-3.6100899,0
388,40.2744916,-3.6071384,0
389,40.2744916,-3.6041869,0
390,40.2744916,-3.6012354,1
391,40.2744916,-3.5982839,1
392,40.2744916,-3.5953323,1
393,40.2744916,-3.5923808,1
394,40.2744916,-3.5894293,1
395,40.2744916,-3.5864778,1
396,40.2744916,-3.5835262,1
397,40.2744916,-3.5805747,0
398,40.2744916,-3.5776232,0
399,40.2744916,-3.5746717,0
400,40.2744916,-3.5717201,0
401,40.2744916,-3.5687686,0
402,40.2744916,-3.5658171,0
403,40.2744916,-3.5628656,0
404,40.2744916,-3.5599140,0
405,40.2744916,-3.5569625,0
406,40.2744916,-3.5540110,0
407,40.2744916,-3.5510595,0
408,40.2744916,-3.5481079,0
409,40.2744916,-3.5451564,0
410,40.2744916,-3.5422049,0
411,40.2744916,-3.5392534,0
412,40.2744916,-3.5363018,0
413,40.2744916,-3.5333503,0
414,40.2744916,-3.5303988,0
415,40.2744916,-3.5274473,0
416,40.2744916,-3.5244957,0
417,40.2744916,-3.5215442,0
418,40.2744916,-3.5185927,0
419,40.2744916,-3.5156412,0
420,40.2744916,-3.5126896,0
421,40.2744916,-3.5097381,0
422,40.2744916,-3.5067866,0
423,40.2767373,-3.9200000,1
424,40.2767373,-3.9170485,1
425,40.2767373,-3.9140970,1
426,40.2767373,-3.9111454,1
427,40.2767373,-3.9081939,1
428,40.2767373,-3.9052424,1
429,40.2767373,-3.9022909,1
430,40.2767373,-3.8993393,1
431,40.2767373,-3.8963878,0
432,40.2767373,-3.8934363,0
433,40.2767373,-3.8904848,0
434,40.2767373,-3.8875332,0
435,40.2767373,-3.8845817,0
436,40.2767373,-3.8816302,0
437,40.2767373,-3.8786787,0
438,40.2767373,-3.8757271,0
439,40.2767373,-3.8727756,0
440,40.2767373,-3.8698241,0
441,40.2767373,-3.8668726,0
442,40.2767373,-3.8639210,0
443,40.2767373,-3.8609695,0
444,40.2767373,-3.8580180,0
445,40.2767373,-3.8550665,0
446,40.2767373,-3.8521149,0
447,40.2767373,-3.8491634,0
448,40.2767373,-3.8462119,0
449,40.2767373,-3.8432604,0
450,40.2767373,-3.8403088,0
451,40.2767373,-3.8373573,0
452,40.2767373,-3.8344058,0
453,40.2767373,-3.8314543,0
454,40.2767373,-3.8285027,1
455,40.2767373,-3.8255512,1
456,40.2767373,-3.8225997,1
457,40.2767373,-3.8196482,1
458,40.2767373,-3.8166966,1
459,40.2767373,-3.8137451,1
460,40.2767373,-3.8107936,1
461,40.2767373,-3.8078421,1
462,40.2767373,-3.8048906,1
463,40.2767373,-3.8019390,1
464,40.2767373,-3.7989875,1
465,40.2767373,-3.7960360,1
466,40.2767373,-3.7930845,1
467,40.2767373,-3.7901329,1
468,40.2767373,-3.7871814,1
469,40.2767373,-3.7842299,1
470,40.2767373,-3.7812784,1
471,40.2767373,-3.7783268,1
472,40.2767373,-3.7753753,1
473,40.2767373,-3.7724238,1
474,40.2767373,-3.7694723,1
475,40.2767373,-3.7665207,1
476,40.2767373,-3.7635692,1
477,40.2767373,-3.7606177,1
478,40.2767373,-3.7576662,1
479,40.2767373,-3.7547146,1
480,40.2767373,-3.7517631,1
481,40.2767373,-3.7488116,1
482,40.2767373,-3.7458601,1
483,40.2767373,-3.7429085,1
484,40.2767373,-3.7399570,1
485,40.2767373,-3.7370055,1
486,40.2767373,-3.7340540,1
487,40.2767373,-3.7311024,1
488,40.2767373,-3.7281509,1
489,40.2767373,-3.7251994,1
490,40.2767373,-3.7222479,1
491,40.2767373,-3.7192963,1
492,40.2767373,-3.7163448,0
493,40.2767373,-3.7133933,1
494,40.2767373,-3.7104418,1
495,40.2767373,-3.7074902,1
496,40.2767373,-3.7045387,1
497,40.2767373,-3.7015872,1
498,40.2767373,-3.6986357,1
499,40.2767373,-3.6956842,1
500,40.2767373,-3.6927326,1
501,40.2767373,-3.6897811,1
502,40.2767373,-3.6868296,1
503,40.2767373,-3.6838781,1
504,40.2767373,-3.6809265,1
505,40.2767373,-3.6779750,1
506,40.2767373,-3.6750235,1
507,40.2767373,-3.6720720,0
508,40.2767373,-3.6691204,0
509,40.2767373,-3.6661689,0
510,40.2767373,-3.6632174,0
511,40.2767373,-3.6602659,0
512,40.2767373,-3.6573143,0
513,40.2767373,-3.6543628,0
514,40.2767373,-3.6514113,0
515,40.2767373,-3.6484598,0
516,40.2767373,-3.6455082,0
517,40.2767373,-3.6425567,0
518,40.2767373,-3.6396052,0
519,40.2767373,-3.6366537,0
520,40.2767373,-3.6337021,0
521,40.2767373,-3.6307506,0
522,40.2767373,-3.6277991,0
