cell_id,cell_lat,cell_lon,in_scope
330,48.4056700,2.8246606,0
331,48.4056700,2.8280687,1
332,48.4056700,2.8314767,1
333,48.4056700,2.8348847,1
334,48.4056700,2.8382928,1
335,48.4056700,2.8417008,0
336,48.4056700,2.8451088,0
337,48.4056700,2.8485168,0
338,48.4056700,2.8519249,0
339,48.4056700,2.8553329,0
340,48.4056700,2.8587409,0
341,48.4056700,2.8621490,0
342,48.4056700,2.8655570,0
343,48.4056700,2.8689650,0
344,48.4056700,2.8723731,1
345,48.4056700,2.8757811,0
346,48.4056700,2.8791891,0
347,48.4056700,2.8825972,0
348,48.4056700,2.8860052,0
349,48.4056700,2.8894132,0
350,48.4056700,2.8928213,0
351,48.4056700,2.8962293,0
352,48.4056700,2.8996373,0
353,48.4056700,2.9030454,0
354,48.4056700,2.9064534,0
355,48.4056700,2.9098614,0
356,48.4079158,1.7000100,0
357,48.4079158,1.7034180,0
358,48.4079158,1.7068261,0
359,48.4079158,1.7102341,0
360,48.4079158,1.7136421,0
361,48.4079158,1.7170502,0
362,48.4079158,1.7204582,0
363,48.4079158,1.7238662,0
364,48.4079158,1.7272743,0
365,48.4079158,1.7306823,0
366,48.4079158,1.7340903,0
367,48.4079158,1.7374984,0
368,48.4079158,1.7409064,0
369,48.4079158,1.7443144,0
370,48.4079158,1.7477225,0
371,48.4079158,1.7511305,0
372,48.4079158,1.7545385,0
373,48.4079158,1.7579465,0
374,48.4079158,1.7613546,0
375,48.4079158,1.7647626,0
376,48.4079158,1.7681706,0
377,48.4079158,1.7715787,0
378,48.4079158,1.7749867,0
379,48.4079158,1.7783947,0
380,48.4079158,1.7818028,0
381,48.4079158,1.7852108,0
382,48.4079158,1.7886188,0
383,48.4079158,1.7920269,0
384,48.4079158,1.7954349,0
385,48.4079158,1.7988429,0
386,48.4079158,1.8022510,0
387,48.4079158,1.8056590,0
388,48.4079158,1.8090670,0
389,48.4079158,1.8124751,0
390,48.4079158,1.8158831,0
391,48.4079158,1.8192911,0
392,48.4079158,1.8226992,0
393,48.4079158,1.8261072,0
394,48.4079158,1.8295152,0
395,48.4079158,1.8329233,0
396,48.4079158,1.8363313,0
397,48.4079158,1.8397393,0
398,48.4079158,1.8431474,0
399,48.4079158,1.8465554,0
400,48.4079158,1.8499634,0
401,48.4079158,1.8533714,0
402,48.4079158,1.8567795,0
403,48.4079158,1.8601875,0
404,48.4079158,1.8635955,0
405,48.4079158,1.8670036,0
406,48.4079158,1.8704116,0
407,48.4079158,1.8738196,0
408,48.4079158,1.8772277,0
409,48.4079158,1.8806357,0
410,48.4079158,1.8840437,0
411,48.4079158,1.8874518,0
412,48.4079158,1.8908598,0
413,48.4079158,1.8942678,0
414,48.4079158,1.8976759,0
415,48.4079158,1.9010839,0
416,48.4079158,1.9044919,0
417,48.4079158,1.9079000,0
418,48.4079158,1.9113080,0
419,48.4079158,1.9147160,0
420,48.4079158,1.9181241,0
421,48.4079158,1.9215321,0
422,48.4079158,1.9249401,0
423,48.4079158,1.9283482,0
424,48.4079158,1.9317562,0
425,48.4079158,1.9351642,0
426,48.4079158,1.9385723,0
427,48.4079158,1.9419803,0
428,48.4079158,1.9453883,0
429,48.4079158,1.9487964,0
430,48.4079158,1.9522044,0
431,48.4079158,1.9556124,0
432,48.4079158,1.9590204,0
433,48.4079158,1.9624285,0
